GenreID,GenreName
582,Infectious Diseases
583,Information Technology
584,Insects
585,Inspiration & Personal Growth
586,Inspirational
587,Inspirational & Religious
588,Instruction & Study
589,Intelligence & Espionage
590,Interactive & Multimedia
591,Interactive Adventures
592,Interior Design
593,Intermediate
594,International
595,International Relations
596,International Security
597,Internet
598,Internet Marketing
599,Interpersonal Relations
600,Intranets & Extranets
601,Investing
602,Investments & Securities
603,Ireland
604,Irish
605,Islam
606,Islamic Studies
607,Israel & Palestine
608,Italian
609,Italy
610,Japan
611,Japanese
612,Japanese Gardens
613,Java
614,JavaScript
615,Jazz
616,Jewelry
617,Jewish
618,Job Hunting
619,Jokes & Riddles
620,Journalism
621,Journalists
622,Judaism
623,Judicial Branch
624,Juices & Smoothies
625,Juvenile Fiction
626,Juvenile Nonfiction
627,KY
628,Kabbalah & Mysticism
629,Knitting
630,Koran & Sacred Writings
631,Korean
632,Korean War
633,LA
634,LGBT
635,LGBT Studies
636,Labor
637,Landscape
638,Language Arts
639,Language Arts & Disciplines
640,Language Study
641,Later Years
642,Latin
643,Latin America
644,Law
645,Law & Crime
646,Law Enforcement
647,Lawyers & Judges
648,Leadership
649,Leadership & Mentoring
650,Learning Disabilities
651,Legal
652,Legal History
653,Legal Profession
654,Legends
655,Legends & Mythology
656,Legislative Branch
657,Leopards
658,Lesbian
659,Letters
660,Library & Information Science
661,Life Sciences
662,Life Stages
663,Lifespan Development
664,Lifestyles
665,Linguistics
666,Lions
667,Literary
668,Literary Collections
669,Literary Criticism
670,Literary Criticism & Collections
671,Literary Figures
672,Literature & the Arts
673,Lodging & Transportation
674,Logic
675,Logic & Brain Teasers
676,Love & Erotica
677,Love & Marriage
678,Love & Romance
679,Low Fat
680,Luxembourg)
681,MD
682,MI
683,MS
684,MT
685,Macroeconomics
686,Magical Realism
687,Maintenance & Repair
688,Mammals
689,Management
690,Management Science
691,Manga
692,Manners & Etiquette
693,Maps & Road Atlases
694,Marine Life
695,Marketing
696,Marriage
697,Marriage & Divorce
698,Marriage & Family
699,Marriage & Long-Term Relationships
700,Martial Arts & Self-Defense
701,Massage & Reflexotherapy
702,Maternity
703,Mathematical & Computational
704,Mathematics
705,Maturing
706,Meat
707,Media Studies
708,Media Tie-In
709,Medical
710,Medical & Surgical
711,Medical (incl. Patients)
712,Medieval
713,Meditations
714,Mediterranean
715,Meetings & Presentations
716,Memory Improvement
717,Men
718,Men's Health
719,Men's Studies
720,Mental Health
721,Metal Work
722,Metaphysics
723,Methods
724,Mexican
725,Mexico
726,Mice
727,Microbiology
728,Microwave
729,Middle Atlantic (NJ
730,Middle East
731,Middle Eastern
732,Midwest
733,Military
734,Military & Wars
735,Military Science
736,Mind & Spirit
737,Mindfulness & Meditation
738,Mineralogy
739,Minority Studies
740,Missions
741,Modern
742,Modern (late 19th Century to 1945)
743,Molecular Biology
744,Money & Monetary Policy
745,Money Management
746,Monkeys
747,Monsters
748,Mood Disorders
749,Motherhood
750,Motivational
751,Motivational & Inspirational
752,Motor Sports
753,Mountain (AZ
754,Mountaineering
755,Movements
756,Multigenerational
757,Multilevel
758,Multiple Translations
759,Murder
760,Museums
761,Music
762,Musicals
763,Mysteries & Detective Stories
764,Mystery & Detective
765,Mysticism
766,Myths
767,NC
768,NM
769,NON-CLASSIFIABLE
770,NV
771,NY
772,National
773,Native American
774,Native American & Aboriginal
775,Native American Studies
776,Natural Disasters
777,Natural Foods
778,Nature
779,Nature & the Natural World
780,Naturopathy
781,Naval
782,Navigation
783,Needlepoint
784,Needlework
785,Netherlands
786,Network Protocols
787,Networking
788,Neurology
789,Neuropsychology
790,New Baby
791,New Business Enterprises
792,New England
793,New Experience
794,New International Version
795,New Testament
796,New Testament & Portions
797,New Thought
798,Non-Formal Education
799,Nonfiction (incl. Memoirs)
800,Nonprofit Organizations & Charities
801,Northeast
802,Nursery Rhymes
803,Nursing
804,Nutrition
805,OH
806,OK
807,OR
808,Object Oriented
809,Occult & Supernatural
810,Occultism
811,Occupations
812,Oceanography
813,Oceans & Seas
814,Old Testament
815,Oncology
816,Online Safety & Privacy
817,Online Services
818,Opera
819,Operating Systems
820,Orchids
821,Organic
822,Organizational Behavior
823,Organizational Development
824,Organized Crime
825,Origami
826,Ornamental Plants
827,Orphans & Foster Homes
828,Orthodox
829,Orthopedics
830,Other
831,Other English Translations
832,Other Translations
833,Outdoor
834,Outdoor & Recreational Areas
835,PA)
836,PCs
837,Pacific (AK
838,Pain Medicine
839,Painting
840,Paleontology
841,Papercrafts
842,Paranormal
843,Parapsychology
844,Parent & Adult Child
845,Parent Participation
846,Parenting
847,Parents
848,Parodies
849,Pasta
850,Peace
851,Pediatrics
852,Peer Pressure
853,Pencil Drawing
854,Penology
855,Pentecostal & Charismatic
856,People & Places
